organization_name,donation_amount,donation_date,donation_frequency,donation_type,donor_category,first_donation_date,campaign_name,donation_purpose,contact_person,region
Innovative Giving,17117.01,03/03/2019,Quarterly,Recurring,Foundation,20/11/2017,Holiday Appeal,Community Support,John Wilson,Europe
United Charities,39223.58,27/08/2023,Annual,Special Event,Corporate,15/10/2015,Disaster Relief,Community Support,Sarah Taylor,Europe
Visionary Solutions,9363.66,11/09/2024,Annual,One-time,Corporate,08/12/2017,Healthcare Fund,Arts and Culture,Laura Johnson,Asia
United Charities,32359.45,24/07/2020,Monthly,Special Event,Non-profit,02/05/2015,Year End Campaign,Arts and Culture,Emily Smith,North America
Charity Connect,3366.35,14/03/2020,Annual,Recurring,Foundation,30/07/2019,Holiday Appeal,Research,Olivia Anderson,Europe
Visionary Solutions,19360.41,13/10/2017,Annual,One-time,Foundation,04/02/2017,Disaster Relief,Community Support,Michael Taylor,Asia
Global Foundation,43604.79,27/03/2024,Monthly,Special Event,Non-profit,03/06/2015,Summer Giving,Community Support,Emily Brown,Asia
Global Foundation,25055.67,03/04/2017,Annual,Special Event,Non-profit,17/06/2015,Year End Campaign,Disaster Relief,John Brown,Africa
Innovative Giving,42779.21,30/11/2021,Annual,Recurring,Foundation,30/03/2019,Research Grant,Community Support,John Rodriguez,Oceania
Solidarity Trust,16694.81,02/09/2022,Annual,Recurring,Foundation,22/11/2019,Summer Giving,Disaster Relief,Alex Rodriguez,Oceania
Pioneer Philanthropy,37989.96,22/06/2020,Monthly,One-time,Corporate,16/02/2016,Year End Campaign,Environmental,Olivia Williams,Asia
Hope Partners,16437.33,17/02/2024,Quarterly,Special Event,Non-profit,20/11/2023,Healthcare Fund,Healthcare,Robert Miller,South America
Community Builders,47286.83,11/06/2023,Quarterly,Special Event,Non-profit,17/01/2016,Year End Campaign,Community Support,Alex Taylor,Europe
Global Foundation,40753.85,07/11/2017,Quarterly,One-time,Foundation,27/08/2017,Spring Drive,Social Services,Robert Rodriguez,North America
Future Enterprises,1869.71,17/01/2024,Monthly,Special Event,Non-profit,20/01/2023,Summer Giving,Education,John Taylor,Asia
Visionary Solutions,14410.8,18/03/2023,Quarterly,Recurring,Foundation,07/08/2020,Community Outreach,Research,David Miller,Europe
Visionary Solutions,40362.52,16/09/2019,Quarterly,Special Event,Non-profit,29/07/2018,Healthcare Fund,Arts and Culture,Michael Williams,South America
United Charities,4104.1,21/07/2024,Annual,Special Event,Non-profit,20/01/2015,Arts Support,Environmental,Robert Jones,Asia
Acme Corp,23218.06,22/04/2024,Quarterly,Recurring,Non-profit,29/08/2016,Community Outreach,Arts and Culture,Michael Williams,Asia
Charity Connect,39493.27,16/11/2024,Annual,Recurring,Foundation,11/07/2016,Disaster Relief,Research,John Anderson,Africa
Charity Connect,21353.06,31/08/2023,Monthly,Special Event,Non-profit,12/06/2021,Arts Support,Social Services,John Wilson,Middle East
Acme Corp,4155.98,06/10/2024,Monthly,Recurring,Corporate,13/03/2023,Disaster Relief,Education,John Wilson,Middle East
Pioneer Philanthropy,1520.62,05/07/2024,Quarterly,Recurring,Foundation,13/04/2023,Disaster Relief,Research,Alex Davis,North America
Community Builders,5137.88,14/03/2023,Monthly,One-time,Foundation,16/11/2020,Healthcare Fund,Healthcare,Laura Williams,Africa
Evergreen Impact,45816.19,18/10/2023,Monthly,Special Event,Foundation,07/05/2022,Summer Giving,Research,John Jones,Europe
Acme Corp,48095.03,13/01/2023,Monthly,One-time,Non-profit,13/12/2020,Year End Campaign,Arts and Culture,Sophia Williams,Europe
Innovative Giving,30316.31,24/08/2024,Quarterly,Recurring,Corporate,04/05/2021,Spring Drive,Education,Laura Miller,Europe
Charity Connect,45898.33,14/06/2020,Annual,One-time,Foundation,03/08/2019,Healthcare Fund,Disaster Relief,Sarah Taylor,Oceania
Community Builders,33275.57,16/02/2020,Quarterly,One-time,Foundation,03/12/2019,Spring Drive,Community Support,Alex Brown,Middle East
Future Enterprises,973.6,25/11/2024,Monthly,Recurring,Corporate,23/08/2023,Disaster Relief,Community Support,John Anderson,Europe
Global Foundation,749.84,24/11/2022,Monthly,Recurring,Corporate,22/03/2022,Research Grant,Environmental,Michael Anderson,Middle East
Evergreen Impact,47308.82,11/06/2024,Annual,One-time,Corporate,10/01/2023,Year End Campaign,Research,Daniel Smith,Europe
Future Enterprises,45109.52,16/02/2019,Monthly,One-time,Foundation,18/07/2016,Education Initiative,Education,David Rodriguez,Africa
Visionary Solutions,23273.05,07/12/2021,Monthly,One-time,Corporate,23/12/2019,Year End Campaign,Arts and Culture,John Miller,Africa
Acme Corp,36023.35,28/01/2023,Quarterly,Special Event,Corporate,11/02/2021,Arts Support,Community Support,Alex Johnson,Africa
Solidarity Trust,25549.68,07/04/2022,Monthly,Recurring,Non-profit,03/04/2022,Healthcare Fund,Disaster Relief,Robert Wilson,North America
Community Builders,31714.5,05/11/2021,Annual,Recurring,Foundation,13/06/2019,Healthcare Fund,Environmental,Michael Smith,Asia
Visionary Solutions,24805.74,29/11/2023,Quarterly,One-time,Foundation,07/11/2022,Spring Drive,Community Support,Olivia Brown,Asia
Acme Corp,35860.55,12/05/2024,Quarterly,Recurring,Non-profit,15/10/2017,Year End Campaign,Social Services,John Garcia,Europe
Community Builders,13744.71,24/12/2022,Monthly,One-time,Non-profit,24/11/2017,Research Grant,Healthcare,David Wilson,Oceania
Evergreen Impact,2088.59,03/02/2021,Annual,Special Event,Non-profit,21/12/2015,Arts Support,Environmental,Michael Anderson,Africa
Innovative Giving,8868.7,15/08/2018,Monthly,Recurring,Foundation,06/02/2018,Disaster Relief,Research,Jane Taylor,Europe
Innovative Giving,31168.55,10/10/2020,Monthly,One-time,Foundation,22/08/2015,Research Grant,Social Services,Emily Rodriguez,Asia
Charity Connect,14213.72,01/01/2024,Monthly,Special Event,Non-profit,24/12/2023,Healthcare Fund,Education,Robert Rodriguez,Oceania
Community Builders,22386.69,23/08/2024,Quarterly,One-time,Foundation,18/03/2019,Spring Drive,Arts and Culture,Emily Johnson,Middle East
Future Enterprises,22278.66,31/12/2023,Quarterly,Recurring,Non-profit,22/12/2020,Community Outreach,Environmental,Michael Brown,South America
Visionary Solutions,4327.86,29/05/2020,Annual,Special Event,Foundation,09/01/2019,Year End Campaign,Education,Olivia Johnson,Asia
Acme Corp,19584.86,30/09/2023,Quarterly,Special Event,Non-profit,22/07/2023,Spring Drive,Disaster Relief,Jane Smith,Oceania
Community Builders,2054.11,25/12/2019,Annual,Special Event,Corporate,29/04/2017,Year End Campaign,Disaster Relief,Daniel Anderson,Middle East
Pioneer Philanthropy,7367.29,10/04/2023,Annual,Recurring,Foundation,21/06/2017,Holiday Appeal,Education,Robert Garcia,Europe
Community Builders,43970.16,16/01/2022,Annual,Special Event,Non-profit,24/09/2015,Holiday Appeal,Arts and Culture,Alex Johnson,Europe
Acme Corp,24956.68,23/09/2019,Monthly,Special Event,Non-profit,08/11/2018,Research Grant,Disaster Relief,Sophia Garcia,Oceania
Evergreen Impact,26079.7,05/05/2019,Quarterly,One-time,Non-profit,19/08/2017,Summer Giving,Arts and Culture,Olivia Brown,North America
Acme Corp,10758.6,06/10/2024,Quarterly,Special Event,Corporate,14/06/2023,Summer Giving,Social Services,John Anderson,Asia
Evergreen Impact,39933.37,03/11/2023,Quarterly,One-time,Corporate,26/08/2022,Holiday Appeal,Social Services,Jane Anderson,Oceania
Innovative Giving,23208.13,09/12/2024,Quarterly,Recurring,Foundation,02/07/2015,Education Initiative,Research,Sarah Rodriguez,Oceania
Community Builders,28623.35,16/10/2019,Annual,Special Event,Non-profit,05/12/2015,Arts Support,Arts and Culture,Olivia Miller,Asia
Acme Corp,19557.26,18/05/2024,Annual,Special Event,Non-profit,08/12/2022,Spring Drive,Environmental,Olivia Davis,Oceania
Hope Partners,38517.28,17/05/2022,Quarterly,Special Event,Non-profit,13/09/2021,Education Initiative,Environmental,Alex Rodriguez,Middle East
Global Foundation,49941.96,23/01/2022,Quarterly,Recurring,Foundation,19/07/2019,Disaster Relief,Research,Sophia Davis,Oceania
Evergreen Impact,26324.77,13/09/2022,Monthly,Recurring,Non-profit,27/12/2021,Community Outreach,Environmental,Laura Smith,Asia
Acme Corp,45276.67,06/05/2024,Annual,Special Event,Non-profit,04/01/2021,Holiday Appeal,Environmental,John Johnson,North America
Visionary Solutions,16990.21,27/12/2024,Annual,Special Event,Corporate,05/02/2023,Healthcare Fund,Environmental,Emily Brown,Europe
Charity Connect,6342.71,01/01/2024,Quarterly,Recurring,Foundation,27/08/2023,Year End Campaign,Community Support,Alex Davis,Asia
Innovative Giving,47224.97,02/02/2025,Monthly,Special Event,Foundation,06/02/2023,Research Grant,Community Support,Jane Taylor,North America
Innovative Giving,21274.89,21/01/2024,Monthly,One-time,Non-profit,20/10/2016,Disaster Relief,Social Services,Michael Miller,Africa
Acme Corp,15360.28,25/11/2019,Annual,Recurring,Non-profit,27/01/2019,Holiday Appeal,Environmental,Michael Anderson,Oceania
Pioneer Philanthropy,38628.94,25/09/2024,Monthly,One-time,Foundation,31/05/2020,Summer Giving,Education,David Anderson,Middle East
Hope Partners,18030.14,07/11/2023,Monthly,Recurring,Foundation,17/03/2022,Arts Support,Social Services,Michael Anderson,South America
Future Enterprises,10227.87,07/06/2018,Quarterly,One-time,Corporate,12/10/2015,Healthcare Fund,Arts and Culture,Olivia Miller,South America
Acme Corp,6276.16,01/08/2024,Monthly,Special Event,Corporate,19/01/2022,Spring Drive,Community Support,Robert Smith,North America
Acme Corp,1411.46,07/02/2021,Quarterly,One-time,Corporate,11/12/2019,Spring Drive,Research,Jane Smith,South America
Hope Partners,16927.9,03/04/2023,Annual,Recurring,Non-profit,02/04/2018,Research Grant,Disaster Relief,Sarah Brown,Asia
Pioneer Philanthropy,12652.92,27/09/2017,Monthly,Special Event,Non-profit,28/09/2016,Spring Drive,Education,Sarah Miller,Africa
Future Enterprises,24679.7,29/04/2022,Monthly,One-time,Corporate,26/04/2020,Arts Support,Environmental,Sarah Garcia,Middle East
Future Enterprises,8801.07,01/11/2023,Annual,Special Event,Corporate,16/10/2023,Year End Campaign,Arts and Culture,Emily Miller,North America
Solidarity Trust,31691.11,30/09/2024,Annual,Recurring,Non-profit,14/12/2023,Disaster Relief,Research,Sophia Johnson,South America
Hope Partners,16233.06,09/09/2018,Quarterly,One-time,Non-profit,28/01/2015,Community Outreach,Environmental,Michael Davis,Africa
Pioneer Philanthropy,10313.03,29/08/2024,Annual,Recurring,Non-profit,27/07/2022,Research Grant,Education,Sophia Smith,Africa
Charity Connect,43174.37,11/07/2024,Quarterly,Recurring,Corporate,02/10/2020,Year End Campaign,Education,Sophia Rodriguez,Europe
Global Foundation,12952,22/01/2024,Quarterly,Recurring,Non-profit,23/02/2022,Education Initiative,Arts and Culture,Michael Anderson,Europe
Global Foundation,25609.4,07/10/2023,Quarterly,One-time,Non-profit,05/10/2017,Healthcare Fund,Arts and Culture,Daniel Wilson,North America
Community Builders,14491.93,20/05/2024,Quarterly,Special Event,Foundation,17/06/2020,Summer Giving,Environmental,Alex Williams,North America
Pioneer Philanthropy,39367.2,09/03/2020,Quarterly,One-time,Non-profit,01/10/2018,Research Grant,Disaster Relief,Robert Rodriguez,Africa
Global Foundation,33845.78,17/12/2021,Monthly,Recurring,Corporate,08/07/2017,Year End Campaign,Education,David Davis,Asia
Future Enterprises,32903.74,07/10/2020,Annual,Recurring,Foundation,10/05/2020,Holiday Appeal,Education,Emily Brown,North America
Evergreen Impact,35567.78,31/07/2021,Annual,One-time,Foundation,10/09/2015,Healthcare Fund,Healthcare,David Brown,Europe
Evergreen Impact,24386.1,04/05/2023,Monthly,One-time,Corporate,28/04/2022,Healthcare Fund,Healthcare,John Davis,Europe
Pioneer Philanthropy,3564.62,15/11/2022,Monthly,One-time,Foundation,07/04/2020,Summer Giving,Community Support,Sophia Wilson,Europe
Global Foundation,46977.01,15/06/2022,Quarterly,Special Event,Foundation,24/01/2022,Spring Drive,Environmental,David Brown,Middle East
Charity Connect,38162.42,11/06/2019,Quarterly,Recurring,Foundation,25/01/2018,Disaster Relief,Research,Emily Smith,Europe
Solidarity Trust,46541.31,03/11/2020,Quarterly,One-time,Foundation,22/03/2019,Disaster Relief,Community Support,Robert Smith,South America
United Charities,47203.7,26/07/2022,Quarterly,One-time,Foundation,31/10/2021,Disaster Relief,Social Services,Sarah Jones,Oceania
United Charities,8804.56,28/03/2022,Quarterly,Special Event,Foundation,16/11/2020,Healthcare Fund,Environmental,Emily Wilson,Middle East
Charity Connect,47496.48,27/02/2022,Monthly,Special Event,Foundation,09/11/2016,Disaster Relief,Social Services,Daniel Taylor,Europe
Pioneer Philanthropy,34868.68,11/03/2022,Quarterly,Recurring,Non-profit,06/08/2020,Healthcare Fund,Social Services,Daniel Brown,South America
Visionary Solutions,9491.65,02/06/2024,Annual,Special Event,Corporate,14/12/2023,Healthcare Fund,Community Support,Alex Wilson,Oceania
Future Enterprises,42268.73,22/10/2023,Quarterly,One-time,Foundation,31/01/2018,Summer Giving,Arts and Culture,Alex Miller,Europe
Acme Corp,8975.24,07/03/2025,Monthly,Recurring,Foundation,19/08/2017,Healthcare Fund,Education,Sophia Garcia,Oceania
Future Enterprises,7355.97,31/08/2023,Monthly,One-time,Corporate,19/01/2022,Year End Campaign,Environmental,Alex Anderson,Oceania
Global Foundation,15209.62,18/02/2021,Monthly,Recurring,Non-profit,26/08/2019,Holiday Appeal,Disaster Relief,David Jones,Africa
Global Foundation,38188.85,19/05/2024,Quarterly,Special Event,Corporate,07/11/2020,Year End Campaign,Social Services,Emily Johnson,North America
Visionary Solutions,24082.86,11/01/2023,Quarterly,One-time,Corporate,03/10/2021,Spring Drive,Disaster Relief,Olivia Johnson,Africa
Evergreen Impact,34338.68,07/09/2018,Quarterly,One-time,Corporate,02/01/2017,Summer Giving,Disaster Relief,John Smith,Oceania
United Charities,32289.36,04/10/2024,Monthly,Special Event,Foundation,07/04/2023,Community Outreach,Education,Robert Miller,North America
Community Builders,27654.24,17/12/2016,Annual,One-time,Foundation,12/12/2016,Spring Drive,Arts and Culture,Olivia Jones,Middle East
Hope Partners,47353.8,28/09/2021,Quarterly,Recurring,Non-profit,13/01/2017,Healthcare Fund,Arts and Culture,Laura Davis,North America
Solidarity Trust,28432.76,20/11/2024,Annual,One-time,Non-profit,21/03/2023,Summer Giving,Research,Jane Davis,North America
Community Builders,32674.6,16/09/2021,Annual,One-time,Foundation,17/01/2021,Arts Support,Arts and Culture,Olivia Smith,Asia
United Charities,10820.73,13/10/2018,Quarterly,Recurring,Corporate,15/02/2018,Holiday Appeal,Education,Michael Davis,Asia
Visionary Solutions,20157.29,10/02/2024,Annual,Recurring,Foundation,03/06/2021,Year End Campaign,Healthcare,Emily Garcia,Asia
United Charities,18175.64,08/03/2025,Annual,One-time,Foundation,20/11/2018,Healthcare Fund,Environmental,Daniel Smith,North America
Pioneer Philanthropy,37151.59,03/11/2016,Quarterly,Recurring,Non-profit,21/02/2016,Arts Support,Healthcare,Laura Davis,Oceania
Global Foundation,37575.41,06/03/2023,Monthly,Special Event,Foundation,16/02/2022,Research Grant,Healthcare,Alex Miller,Africa
Pioneer Philanthropy,27809.34,21/06/2023,Monthly,One-time,Foundation,23/11/2017,Healthcare Fund,Education,Sophia Wilson,Middle East
Innovative Giving,37994.75,03/10/2021,Monthly,Recurring,Non-profit,10/01/2019,Summer Giving,Healthcare,Laura Taylor,Africa
Global Foundation,33539,11/03/2020,Monthly,One-time,Foundation,24/03/2018,Research Grant,Education,John Johnson,Oceania
Solidarity Trust,44673.65,22/12/2024,Annual,One-time,Foundation,12/04/2022,Summer Giving,Education,Alex Davis,Middle East
Global Foundation,27292.37,08/08/2024,Monthly,One-time,Non-profit,19/03/2021,Disaster Relief,Disaster Relief,Michael Rodriguez,South America
Charity Connect,12035.31,08/11/2021,Quarterly,Recurring,Corporate,04/12/2017,Spring Drive,Arts and Culture,Sophia Johnson,North America
Future Enterprises,11270.74,27/02/2025,Quarterly,One-time,Non-profit,12/03/2018,Education Initiative,Education,Robert Miller,South America
Solidarity Trust,2887.73,09/12/2021,Annual,One-time,Corporate,17/08/2021,Arts Support,Education,Alex Taylor,South America
Innovative Giving,49250.19,20/07/2023,Annual,One-time,Non-profit,20/05/2019,Spring Drive,Social Services,Sophia Johnson,Africa
Hope Partners,40073.03,10/02/2024,Annual,One-time,Non-profit,14/04/2017,Holiday Appeal,Community Support,Emily Rodriguez,Africa
Visionary Solutions,5967.62,05/10/2024,Annual,One-time,Corporate,25/09/2022,Disaster Relief,Arts and Culture,Jane Anderson,South America
Hope Partners,27146.89,23/07/2019,Quarterly,One-time,Non-profit,20/01/2019,Year End Campaign,Healthcare,John Smith,Asia
Innovative Giving,45097.97,25/02/2024,Annual,One-time,Foundation,02/12/2022,Holiday Appeal,Healthcare,Daniel Smith,Africa
Innovative Giving,28402.47,18/12/2024,Monthly,One-time,Corporate,02/10/2020,Disaster Relief,Research,Laura Williams,Europe
Hope Partners,11180.64,29/03/2020,Monthly,One-time,Non-profit,21/09/2019,Disaster Relief,Community Support,John Johnson,South America
Pioneer Philanthropy,14819.65,04/11/2020,Monthly,Recurring,Foundation,02/03/2017,Healthcare Fund,Community Support,Emily Rodriguez,Middle East
United Charities,25050.29,08/06/2024,Monthly,Special Event,Corporate,30/12/2019,Arts Support,Healthcare,Robert Rodriguez,Asia
Charity Connect,22920.07,25/03/2023,Monthly,One-time,Corporate,07/01/2020,Holiday Appeal,Community Support,Jane Davis,Europe
United Charities,44820.74,10/01/2021,Monthly,One-time,Non-profit,01/10/2020,Arts Support,Community Support,Robert Brown,South America
Community Builders,30755.32,20/06/2021,Annual,Special Event,Foundation,26/12/2020,Disaster Relief,Education,Daniel Taylor,Middle East
Solidarity Trust,2275.83,10/01/2025,Quarterly,One-time,Non-profit,31/01/2017,Community Outreach,Arts and Culture,Sarah Williams,North America
Pioneer Philanthropy,32785.5,08/02/2020,Quarterly,Recurring,Non-profit,16/01/2020,Research Grant,Healthcare,Olivia Smith,Middle East
Evergreen Impact,743.51,28/03/2019,Monthly,Recurring,Corporate,30/05/2016,Year End Campaign,Social Services,Robert Anderson,South America
Future Enterprises,9256.06,26/09/2024,Annual,Special Event,Corporate,24/07/2023,Year End Campaign,Disaster Relief,Laura Jones,Asia
Community Builders,43510.65,09/09/2023,Quarterly,One-time,Non-profit,25/07/2020,Year End Campaign,Arts and Culture,Olivia Williams,Middle East
Hope Partners,33093.64,11/06/2019,Annual,Special Event,Foundation,25/05/2019,Community Outreach,Arts and Culture,Emily Smith,Oceania
Solidarity Trust,6731.02,13/04/2023,Monthly,Recurring,Non-profit,12/04/2020,Summer Giving,Environmental,Emily Rodriguez,Middle East
Hope Partners,8237.51,12/12/2022,Annual,Recurring,Corporate,13/03/2022,Education Initiative,Education,David Garcia,Europe
Global Foundation,8879.52,19/06/2024,Monthly,Recurring,Corporate,01/08/2015,Disaster Relief,Environmental,Daniel Smith,North America
Community Builders,39899.49,15/02/2024,Monthly,Special Event,Corporate,20/02/2023,Arts Support,Research,Sophia Garcia,Asia
United Charities,17576.51,05/03/2022,Quarterly,Recurring,Foundation,17/06/2021,Education Initiative,Social Services,Laura Miller,North America
Visionary Solutions,25863.71,07/11/2019,Quarterly,Special Event,Corporate,25/03/2017,Spring Drive,Social Services,Sophia Garcia,Middle East
Acme Corp,48345.23,06/09/2015,Quarterly,One-time,Non-profit,29/08/2015,Arts Support,Disaster Relief,David Smith,Oceania
Pioneer Philanthropy,30786.79,05/05/2023,Quarterly,Recurring,Corporate,06/10/2021,Holiday Appeal,Arts and Culture,Michael Wilson,Asia
Community Builders,17339.01,22/12/2023,Monthly,Recurring,Foundation,23/05/2017,Summer Giving,Environmental,Sarah Johnson,North America
Global Foundation,24035.49,18/10/2017,Monthly,Recurring,Foundation,05/01/2017,Summer Giving,Environmental,Laura Williams,Asia
Pioneer Philanthropy,26831.73,15/03/2024,Monthly,Recurring,Corporate,16/11/2020,Healthcare Fund,Research,Sarah Davis,Asia
Evergreen Impact,21249.48,11/04/2024,Monthly,Recurring,Corporate,12/05/2019,Holiday Appeal,Disaster Relief,Daniel Wilson,South America
Visionary Solutions,38604.67,23/08/2023,Monthly,Special Event,Foundation,30/03/2022,Summer Giving,Social Services,Alex Taylor,South America
Charity Connect,7344.09,30/03/2017,Annual,One-time,Non-profit,10/11/2015,Spring Drive,Research,John Garcia,Oceania
Visionary Solutions,46907.91,25/10/2024,Quarterly,Recurring,Foundation,18/03/2023,Research Grant,Healthcare,Olivia Garcia,North America
United Charities,43735.63,24/05/2023,Annual,Special Event,Foundation,14/02/2019,Spring Drive,Social Services,Sophia Taylor,Asia
Hope Partners,38493.61,09/03/2018,Annual,Recurring,Non-profit,28/04/2015,Research Grant,Research,Sophia Brown,South America
Innovative Giving,43077.16,22/09/2023,Quarterly,Special Event,Foundation,02/03/2016,Research Grant,Community Support,Olivia Jones,North America
Charity Connect,15886.66,14/06/2024,Annual,Recurring,Foundation,30/10/2022,Education Initiative,Social Services,Emily Anderson,Europe
Global Foundation,48857.86,22/06/2017,Quarterly,One-time,Corporate,05/11/2016,Year End Campaign,Disaster Relief,Michael Garcia,North America
Future Enterprises,2800.97,05/03/2025,Quarterly,Recurring,Corporate,11/05/2019,Research Grant,Arts and Culture,Alex Miller,Middle East
Evergreen Impact,27750.26,29/08/2022,Monthly,Recurring,Corporate,21/12/2018,Summer Giving,Social Services,Olivia Rodriguez,Asia
Evergreen Impact,41409.99,28/03/2021,Annual,Special Event,Non-profit,17/01/2021,Research Grant,Education,Jane Davis,Africa
Visionary Solutions,5558.43,16/11/2023,Annual,Recurring,Foundation,23/11/2022,Community Outreach,Healthcare,John Jones,South America
Acme Corp,48025.71,26/12/2021,Quarterly,One-time,Non-profit,17/06/2017,Disaster Relief,Social Services,Olivia Garcia,South America
Innovative Giving,32055.66,06/08/2022,Quarterly,Recurring,Corporate,22/07/2022,Holiday Appeal,Disaster Relief,Emily Brown,Oceania
United Charities,16817.42,23/07/2022,Monthly,Recurring,Non-profit,23/01/2021,Research Grant,Disaster Relief,Olivia Williams,Oceania
Community Builders,12922.56,07/06/2022,Monthly,Special Event,Foundation,30/07/2021,Research Grant,Social Services,Jane Jones,Oceania
Pioneer Philanthropy,31491.46,21/11/2023,Quarterly,One-time,Corporate,07/03/2022,Summer Giving,Community Support,Laura Smith,Africa
Pioneer Philanthropy,15623.12,22/10/2023,Annual,Recurring,Corporate,04/07/2022,Education Initiative,Research,Jane Johnson,North America
Pioneer Philanthropy,36062.05,07/09/2024,Annual,One-time,Corporate,23/10/2021,Holiday Appeal,Disaster Relief,Michael Brown,Oceania
Future Enterprises,47509.83,08/03/2023,Quarterly,Recurring,Foundation,28/09/2020,Disaster Relief,Environmental,David Rodriguez,Middle East
Solidarity Trust,23782.67,17/07/2019,Annual,Recurring,Foundation,31/10/2018,Research Grant,Disaster Relief,Jane Brown,Africa
Visionary Solutions,7082.13,24/08/2023,Monthly,One-time,Corporate,31/05/2020,Community Outreach,Social Services,Sophia Taylor,North America
Global Foundation,28964.09,05/10/2016,Monthly,Special Event,Non-profit,01/12/2015,Year End Campaign,Disaster Relief,Daniel Williams,Middle East
Solidarity Trust,18400.96,01/07/2024,Monthly,Special Event,Corporate,16/10/2022,Spring Drive,Healthcare,Olivia Garcia,Oceania
Pioneer Philanthropy,32288.75,11/05/2024,Annual,Recurring,Non-profit,27/09/2023,Disaster Relief,Social Services,John Wilson,Middle East
Evergreen Impact,1312.66,16/05/2024,Quarterly,Recurring,Corporate,02/03/2021,Research Grant,Education,Jane Smith,Middle East
Hope Partners,20993.37,26/05/2023,Quarterly,Special Event,Foundation,25/02/2023,Spring Drive,Disaster Relief,Emily Davis,Middle East
Innovative Giving,30617.11,20/02/2024,Quarterly,Special Event,Non-profit,07/08/2017,Disaster Relief,Research,Jane Wilson,South America
Future Enterprises,47119.29,05/07/2017,Monthly,Recurring,Non-profit,12/09/2015,Disaster Relief,Disaster Relief,Emily Jones,Asia
Innovative Giving,2690.44,27/05/2021,Annual,One-time,Foundation,03/01/2015,Community Outreach,Education,David Johnson,Oceania
Global Foundation,43172.19,12/03/2017,Quarterly,Special Event,Corporate,24/12/2016,Healthcare Fund,Healthcare,John Brown,Africa
Hope Partners,3348.24,23/05/2023,Quarterly,One-time,Corporate,10/03/2021,Healthcare Fund,Research,Sophia Johnson,Africa
Global Foundation,48240.04,20/02/2020,Monthly,One-time,Non-profit,20/06/2018,Holiday Appeal,Healthcare,Daniel Smith,Europe
Innovative Giving,36847.32,31/05/2024,Monthly,Special Event,Corporate,23/12/2021,Arts Support,Disaster Relief,John Anderson,Africa
Evergreen Impact,27426.59,14/03/2021,Annual,One-time,Foundation,04/09/2015,Summer Giving,Social Services,Alex Jones,Middle East
Future Enterprises,25117.37,05/02/2024,Monthly,Special Event,Non-profit,17/06/2021,Research Grant,Social Services,Daniel Brown,Europe
Acme Corp,45917.54,19/09/2019,Monthly,Recurring,Corporate,01/03/2016,Holiday Appeal,Education,Olivia Jones,Middle East
Solidarity Trust,8408.7,16/02/2021,Quarterly,Recurring,Non-profit,07/03/2018,Disaster Relief,Environmental,Daniel Rodriguez,Oceania
Charity Connect,39311.19,25/02/2023,Annual,Special Event,Non-profit,14/01/2018,Arts Support,Arts and Culture,John Anderson,Middle East
Solidarity Trust,49572.07,02/05/2023,Monthly,Recurring,Foundation,03/01/2019,Education Initiative,Research,David Miller,Africa
Hope Partners,45363.97,19/12/2016,Annual,Special Event,Foundation,29/11/2016,Community Outreach,Social Services,Robert Davis,South America
Hope Partners,3244.18,23/12/2023,Monthly,One-time,Non-profit,09/02/2022,Community Outreach,Research,Emily Smith,Europe
United Charities,20550.07,21/01/2024,Annual,One-time,Corporate,04/07/2022,Holiday Appeal,Arts and Culture,John Miller,Asia
Community Builders,43763.57,22/11/2022,Annual,Recurring,Corporate,05/03/2019,Holiday Appeal,Healthcare,John Smith,Africa
United Charities,12182.28,30/12/2020,Quarterly,One-time,Non-profit,25/10/2019,Community Outreach,Community Support,Laura Garcia,Oceania
Pioneer Philanthropy,24497.94,07/04/2022,Monthly,Recurring,Non-profit,10/11/2021,Education Initiative,Education,Jane Rodriguez,Middle East
Evergreen Impact,21547.06,20/04/2020,Quarterly,Recurring,Foundation,24/06/2019,Year End Campaign,Social Services,Daniel Jones,Oceania
Evergreen Impact,48002.61,17/07/2018,Quarterly,One-time,Corporate,26/06/2018,Year End Campaign,Arts and Culture,Sophia Garcia,Africa
Evergreen Impact,9910.05,22/01/2019,Monthly,One-time,Foundation,02/05/2017,Research Grant,Community Support,Jane Smith,Europe
Innovative Giving,24942.85,03/03/2017,Quarterly,One-time,Non-profit,13/05/2015,Arts Support,Social Services,David Anderson,Asia
Innovative Giving,16934.48,28/05/2023,Monthly,Special Event,Corporate,18/07/2018,Community Outreach,Social Services,Olivia Jones,Europe
Visionary Solutions,45495.3,21/04/2023,Monthly,One-time,Corporate,24/09/2020,Research Grant,Disaster Relief,Jane Jones,Africa
Pioneer Philanthropy,33382.12,25/01/2025,Monthly,Special Event,Non-profit,11/06/2022,Healthcare Fund,Arts and Culture,Robert Wilson,Europe
United Charities,37221.61,13/07/2024,Quarterly,Special Event,Foundation,03/12/2020,Arts Support,Education,Olivia Miller,Oceania
Solidarity Trust,41808.11,04/12/2024,Annual,Recurring,Foundation,09/09/2023,Summer Giving,Healthcare,Emily Johnson,Africa
Solidarity Trust,30852.55,17/11/2024,Monthly,Recurring,Foundation,25/04/2022,Year End Campaign,Community Support,Sophia Rodriguez,North America
Innovative Giving,34686.83,18/02/2023,Annual,One-time,Foundation,27/02/2022,Disaster Relief,Healthcare,John Smith,Oceania
